code,occupation_name,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033
11201,Professional occupations in business management consulting,122300.0,124800.0,127800.0,129900.0,131600.0,133200.0,134700.0,136100.0,137700.0,139300.0,140900.0
11202,"Professional occupations in advertising, marketing and public relations",233600.0,242100.0,245600.0,249500.0,252800.0,256400.0,260000.0,263300.0,267300.0,271200.0,275100.0
12010,"Supervisors, general office and administrative support workers",21300.0,21300.0,22000.0,22500.0,22900.0,23200.0,23500.0,23800.0,24100.0,24400.0,24600.0
12011,"Supervisors, finance and insurance office workers",45900.0,47000.0,47600.0,48400.0,48900.0,49600.0,50100.0,50500.0,51000.0,51600.0,52100.0
12012,"Supervisors, library, correspondence and related information workers",3700.0,3800.0,3900.0,3900.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
12013,"Supervisors, supply chain, tracking and scheduling coordination occupations",81400.0,83300.0,83700.0,85900.0,88200.0,89400.0,90500.0,91600.0,92700.0,93800.0,94900.0
12100,Executive assistants,41500.0,42600.0,43400.0,44200.0,44800.0,45200.0,45400.0,45700.0,46000.0,46300.0,46600.0
12101,Human resources and recruitment officers,52100.0,53300.0,53700.0,55700.0,56500.0,57200.0,58200.0,59200.0,60000.0,60900.0,61900.0
12102,Procurement and purchasing agents and officers,80500.0,84100.0,85000.0,86500.0,88000.0,89300.0,90600.0,91800.0,93200.0,94700.0,96200.0
12103,Conference and event planners,28400.0,28900.0,29900.0,30300.0,30800.0,31200.0,31700.0,32100.0,32500.0,32900.0,33300.0
12104,Employment insurance and revenue officers,65700.0,65600.0,66900.0,67700.0,68200.0,68800.0,69400.0,69800.0,70600.0,71300.0,72100.0
12110,"Court reporters, medical transcriptionists and related occupations",7900.0,7500.0,7900.0,8300.0,8500.0,8700.0,8800.0,9000.0,9100.0,9300.0,9400.0
12111,Health information management occupations,6000.0,6100.0,6200.0,6400.0,6500.0,6600.0,6700.0,6900.0,7000.0,7100.0,7300.0
12112,Records management technicians,8300.0,8400.0,8600.0,8800.0,9000.0,9100.0,9300.0,9400.0,9500.0,9700.0,9800.0
12113,Statistical officers and related research support occupations,6800.0,7000.0,7000.0,7000.0,7100.0,7100.0,7200.0,7200.0,7300.0,7300.0,7400.0
12200,Accounting technicians and bookkeepers,204400.0,209600.0,212700.0,215400.0,217200.0,219300.0,221600.0,223700.0,226200.0,228800.0,231400.0
12201,Insurance adjusters and claims examiners,46000.0,47700.0,49900.0,51600.0,52900.0,54100.0,55200.0,56100.0,57300.0,58400.0,59400.0
12202,Insurance underwriters,28100.0,27800.0,28900.0,29400.0,30100.0,30700.0,31100.0,31600.0,32000.0,32400.0,32800.0
12203,"Assessors, business valuators and appraisers",17200.0,17600.0,17900.0,18200.0,18300.0,18400.0,18500.0,18500.0,18500.0,18600.0,18600.0
13100,Administrative officers,238500.0,243800.0,247600.0,251500.0,254400.0,257400.0,260200.0,262900.0,265800.0,268500.0,271300.0
13101,Property administrators,48200.0,48700.0,49600.0,50900.0,51900.0,52800.0,53500.0,54200.0,55000.0,55700.0,56400.0
13102,Payroll administrators,53300.0,54400.0,56600.0,57400.0,58400.0,59300.0,59900.0,60700.0,61500.0,62300.0,63100.0
13110,Administrative assistants,233800.0,237700.0,242100.0,244800.0,247100.0,248300.0,249600.0,251000.0,252100.0,253300.0,254300.0
13111,Legal administrative assistants,54900.0,55300.0,56600.0,57800.0,58200.0,58800.0,59300.0,59700.0,60200.0,60800.0,61300.0
13112,Medical administrative assistants,84300.0,85300.0,86800.0,88700.0,90300.0,92000.0,93700.0,95400.0,97100.0,98800.0,100500.0
13200,"Customs, ship and other brokers",7800.0,8000.0,8200.0,8300.0,8300.0,8400.0,8400.0,8500.0,8600.0,8600.0,8700.0
13201,Production and transportation logistics coordinators,33400.0,34700.0,34900.0,35100.0,35600.0,36200.0,36800.0,37200.0,37700.0,38200.0,38600.0
14100,General office support workers,129200.0,131800.0,133300.0,133400.0,132900.0,132000.0,131100.0,130300.0,129100.0,127900.0,126700.0
14101,Receptionists,144600.0,148400.0,149900.0,151600.0,152500.0,153600.0,154500.0,155300.0,156100.0,156800.0,157500.0
14102,Personnel clerks,12800.0,13200.0,13500.0,13600.0,13800.0,14000.0,14200.0,14300.0,14500.0,14700.0,14900.0
14103,Court clerks and related court services occupations,8500.0,9000.0,9100.0,9200.0,9300.0,9400.0,9400.0,9500.0,9600.0,9700.0,9700.0
14110,Survey interviewers and statistical clerks,6200.0,6100.0,6100.0,6200.0,6100.0,6100.0,6100.0,6100.0,6100.0,6000.0,6000.0
14111,Data entry clerks,36000.0,36400.0,36800.0,37200.0,37200.0,37200.0,37100.0,37000.0,36900.0,36800.0,36700.0
14112,Desktop publishing operators and related occupations,160656.9721115538,163311.7529880478,166383.66533864543,169076.89243027888,171042.6294820717,172810.35856573706,174501.593625498,176163.94422310757,177877.68924302788,179588.04780876494,181292.43027888445
14200,Accounting and related clerks,151100.0,152700.0,155800.0,157800.0,158700.0,159500.0,160200.0,160600.0,161300.0,161900.0,162300.0
14201,"Banking, insurance and other financial clerks",28200.0,28400.0,28800.0,29000.0,29200.0,29300.0,29300.0,29300.0,29300.0,29300.0,29300.0
14202,Collection clerks,9800.0,9800.0,10000.0,10100.0,10100.0,10100.0,10100.0,10000.0,10000.0,10000.0,9900.0
14300,Library assistants and clerks,15100.0,15100.0,15300.0,15500.0,15600.0,15600.0,15700.0,15700.0,15800.0,15900.0,15900.0
14301,"Correspondence, publication and regulatory clerks",19100.0,18900.0,19000.0,19900.0,19900.0,20300.0,20500.0,20600.0,20800.0,21000.0,21200.0
14400,Shippers and receivers,114600.0,114300.0,116500.0,117800.0,118200.0,118400.0,118600.0,118700.0,118800.0,118900.0,119000.0
14401,Storekeepers and partspersons,21600.0,21600.0,22800.0,22800.0,22700.0,22600.0,22600.0,22500.0,22500.0,22400.0,22300.0
14402,Production logistics workers,3100.0,3000.0,3100.0,3100.0,3200.0,3200.0,3200.0,3200.0,3200.0,3200.0,3300.0
14403,Purchasing and inventory control workers,30000.0,31000.0,31600.0,31800.0,31900.0,32000.0,32100.0,32200.0,32400.0,32500.0,32600.0
14404,Dispatchers,33100.0,34400.0,35000.0,35700.0,36100.0,36300.0,36500.0,36600.0,36800.0,37000.0,37200.0
14405,Transportation route and crew schedulers,3400.0,3200.0,3100.0,3400.0,3500.0,3400.0,3400.0,3500.0,3500.0,3500.0,3500.0
20010,Engineering managers,34300.0,34800.0,35200.0,35700.0,36000.0,36400.0,36700.0,37100.0,37400.0,37700.0,38000.0
20011,Architecture and science managers,16300.0,16900.0,17000.0,17200.0,17400.0,17600.0,17800.0,18000.0,18200.0,18400.0,18600.0
20012,Computer and information systems managers,124200.0,131100.0,133100.0,136200.0,139400.0,143000.0,146500.0,150000.0,153600.0,157200.0,161000.0
21100,Physicists and astronomers,160656.9721115538,163311.7529880478,166383.66533864543,169076.89243027888,171042.6294820717,172810.35856573706,174501.593625498,176163.94422310757,177877.68924302788,179588.04780876494,181292.43027888445
21101,Chemists,12100.0,11600.0,12200.0,12400.0,12500.0,12600.0,12800.0,12700.0,12700.0,12800.0,12900.0
21102,Geoscientists and oceanographers,10000.0,10000.0,10200.0,10300.0,10300.0,10300.0,10300.0,10200.0,10200.0,10200.0,10300.0
21103,Meteorologists and climatologists,160656.9721115538,163311.7529880478,166383.66533864543,169076.89243027888,171042.6294820717,172810.35856573706,174501.593625498,176163.94422310757,177877.68924302788,179588.04780876494,181292.43027888445
21109,Other professional occupations in physical sciences,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
21110,Biologists and related scientists,30900.0,31300.0,31300.0,31600.0,31900.0,32100.0,32300.0,32500.0,32700.0,32800.0,33000.0
21111,Forestry professionals,4200.0,4400.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4600.0,4600.0,4600.0
21112,"Agricultural representatives, consultants and specialists",5600.0,5500.0,5700.0,5800.0,5900.0,6000.0,6100.0,6100.0,6200.0,6300.0,6400.0
21120,Public and environmental health and safety professionals,12100.0,12300.0,12500.0,12700.0,12800.0,12900.0,13000.0,13000.0,13100.0,13200.0,13300.0
21200,Architects,26900.0,27600.0,27700.0,27900.0,27900.0,27900.0,28000.0,28000.0,28100.0,28100.0,28100.0
21201,Landscape architects,3300.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0,3500.0
21202,Urban and land use planners,15600.0,16100.0,16500.0,16700.0,16900.0,17000.0,17200.0,17300.0,17500.0,17600.0,17700.0
21203,Land surveyors,7200.0,7300.0,7300.0,7400.0,7400.0,7300.0,7300.0,7300.0,7300.0,7200.0,7200.0
21210,"Mathematicians, statisticians and actuaries",16000.0,16100.0,16500.0,16700.0,17000.0,17200.0,17400.0,17500.0,17700.0,17800.0,18000.0
21211,Data scientists,36600.0,38000.0,38500.0,39100.0,39600.0,40100.0,40600.0,41200.0,41700.0,42200.0,42700.0
21220,Cybersecurity specialists,31800.0,33700.0,34200.0,34900.0,35600.0,36300.0,37100.0,37800.0,38700.0,39500.0,40400.0
21221,Business systems specialists,34900.0,36300.0,37100.0,38000.0,38800.0,39600.0,40400.0,41200.0,42100.0,42900.0,43800.0
21222,Information systems specialists,229400.0,232700.0,237300.0,242300.0,248400.0,253100.0,258300.0,263200.0,268100.0,272900.0,278000.0
21223,Database analysts and data administrators,52400.0,53600.0,54800.0,56400.0,58000.0,59500.0,60800.0,62100.0,63400.0,64800.0,66100.0
21230,Computer systems developers and programmers,45700.0,46200.0,46600.0,47000.0,47100.0,47100.0,47100.0,47100.0,47200.0,47200.0,47300.0
21231,Software engineers and designers,113100.0,118100.0,119300.0,122300.0,125000.0,127600.0,130100.0,132600.0,135100.0,137800.0,140600.0
21232,Software developers and programmers,155700.0,160800.0,163600.0,168300.0,173400.0,178500.0,183400.0,188400.0,193300.0,198100.0,203300.0
21233,Web designers,13100.0,13200.0,13300.0,13600.0,13700.0,13900.0,14000.0,14200.0,14400.0,14600.0,14800.0
21234,Web developers and programmers,28700.0,30000.0,29200.0,29900.0,30200.0,30700.0,31200.0,31800.0,32200.0,32700.0,33100.0
21300,Civil engineers,65600.0,68200.0,67900.0,68500.0,69000.0,69400.0,69900.0,70300.0,70700.0,71100.0,71500.0
21301,Mechanical engineers,44900.0,45500.0,46000.0,46600.0,47000.0,47300.0,47500.0,47700.0,47800.0,48000.0,48200.0
21310,Electrical and electronics engineers,41300.0,42500.0,43100.0,43700.0,44200.0,44600.0,44900.0,45100.0,45400.0,45700.0,46100.0
21311,Computer engineers (except software engineers and designers),32500.0,34300.0,33600.0,34300.0,35400.0,36500.0,37300.0,37900.0,38700.0,39400.0,40200.0
21320,Chemical engineers,14100.0,14200.0,14600.0,14800.0,15000.0,15200.0,15200.0,15200.0,15300.0,15400.0,15400.0
21321,Industrial and manufacturing engineers,20400.0,20600.0,20400.0,20600.0,20900.0,21100.0,21300.0,21500.0,21700.0,22000.0,22200.0
21322,Metallurgical and materials engineers,160656.9721115538,163311.7529880478,166383.66533864543,169076.89243027888,171042.6294820717,172810.35856573706,174501.593625498,176163.94422310757,177877.68924302788,179588.04780876494,181292.43027888445
21330,Mining engineers,5300.0,5100.0,5200.0,5300.0,5400.0,5500.0,5500.0,5500.0,5500.0,5600.0,5600.0
21331,Geological engineers,3500.0,3600.0,3900.0,3800.0,3900.0,4000.0,4000.0,4000.0,4000.0,4100.0,4100.0
